hdi_rank,country,hdi_value,life_expectancy,mean_years_schooling,expected_years_schooling,gni_per_capita
1,Norway,0.944,81.5,12.6,17.6,63909
2,Australia,0.933,82.5,12.8,19.9,41524
3,Switzerland,0.917,82.6,12.2,15.7,53762
4,Netherlands,0.915,81,11.9,17.9,42397
5,United States,0.914,78.9,12.9,16.5,52308
6,Germany,0.911,80.7,12.9,16.3,43049
7,New Zealand,0.91,81.1,12.5,19.4,32569
8,Canada,0.902,81.5,12.3,15.9,41887
9,Singapore,0.901,82.3,10.2,15.4,72371
10,Denmark,0.9,79.4,12.1,16.9,42880
11,Ireland,0.899,80.7,11.6,18.6,33414
12,Sweden,0.898,81.8,11.7,15.8,43201
13,Iceland,0.895,82.1,10.4,18.7,35116
14,United Kingdom,0.892,80.5,12.3,16.2,35002
15,"Hong Kong, China (SAR)",0.891,83.4,10,15.6,52383
15,Korea (Republic of),0.891,81.5,11.8,17,30345
17,Japan,0.89,83.6,11.5,15.3,36747
18,Liechtenstein,0.889,79.9,10.3,15.1,87085
19,Israel,0.888,81.8,12.5,15.7,29966
20,France,0.884,81.8,11.1,16,36629
21,Austria,0.881,81.1,10.8,15.6,42930
21,Belgium,0.881,80.5,10.9,16.2,39471
21,Luxembourg,0.881,80.5,11.3,13.9,58695
24,Finland,0.879,80.5,10.3,17,37366
25,Slovenia,0.874,79.6,11.9,16.8,26809
26,Italy,0.872,82.4,10.1,16.3,32669
27,Spain,0.869,82.1,9.6,17.1,30561
28,Czech Republic,0.861,77.7,12.3,16.4,24535
29,Greece,0.853,80.8,10.2,16.5,24658
30,Brunei Darussalam,0.852,78.5,8.7,14.5,70883
31,Qatar,0.851,78.4,9.1,13.8,119029
32,Cyprus,0.845,79.8,11.6,14,26771
33,Estonia,0.84,74.4,12,16.5,23387
34,Saudi Arabia,0.836,75.5,8.7,15.6,52109
35,Lithuania,0.834,72.1,12.4,16.7,23740
35,Poland,0.834,76.4,11.8,15.5,21487
37,Andorra,0.83,81.2,10.4,11.7,40597
37,Slovakia,0.83,75.4,11.6,15,25336
39,Malta,0.829,79.8,9.9,14.5,27022
40,United Arab Emirates,0.827,76.8,9.1,13.3,58068
41,Chile,0.822,80,9.8,15.1,20804
41,Portugal,0.822,79.9,8.2,16.3,24130
43,Hungary,0.818,74.6,11.3,15.4,21239
44,Bahrain,0.815,76.6,9.4,14.4,32072
44,Cuba,0.815,79.3,10.2,14.5,19844
46,Kuwait,0.814,74.3,7.2,14.6,85820
47,Croatia,0.812,77,11,14.5,19025
48,Latvia,0.81,72.2,11.5,15.5,22186
49,Argentina,0.808,76.3,9.8,16.4,17297
50,Uruguay,0.79,77.2,8.5,15.5,18108
51,Bahamas,0.789,75.2,10.9,12.6,21414
51,Montenegro,0.789,74.8,10.5,15.2,14710
53,Belarus,0.786,69.9,11.5,15.7,16403
54,Romania,0.785,73.8,10.7,14.1,17433
55,Libya,0.784,75.3,7.5,16.1,21666
56,Oman,0.783,76.6,6.8,13.6,42191
57,Russian Federation,0.778,68,11.7,14,22617
58,Bulgaria,0.777,73.5,10.6,14.3,15402
59,Barbados,0.776,75.4,9.4,15.4,13604
60,Palau,0.775,72.4,12.2,13.7,12823
61,Antigua and Barbuda,0.774,76,8.9,13.8,18800
62,Malaysia,0.773,75,9.5,12.7,21824
63,Mauritius,0.771,73.6,8.5,15.6,16777
64,Trinidad and Tobago,0.766,69.9,10.8,12.3,25325
65,Lebanon,0.765,80,7.9,13.2,16263
65,Panama,0.765,77.6,9.4,12.4,16379
67,Venezuela (Bolivarian Republic of),0.764,74.6,8.6,14.2,17067
68,Costa Rica,0.763,79.9,8.4,13.5,13012
69,Turkey,0.759,75.3,7.6,14.4,18391
70,Kazakhstan,0.757,66.5,10.4,15,19441
71,Mexico,0.756,77.5,8.5,12.8,15854
71,Seychelles,0.756,73.2,9.4,11.6,24632
73,Saint Kitts and Nevis,0.75,73.6,8.4,12.9,20150
73,Sri Lanka,0.75,74.3,10.8,13.6,9250
75,Iran (Islamic Republic of),0.749,74,7.8,15.2,13451
76,Azerbaijan,0.747,70.8,11.2,11.8,15725
77,Jordan,0.745,73.9,9.9,13.3,11337
77,Serbia,0.745,74.1,9.5,13.6,11301
79,Brazil,0.744,73.9,7.2,15.2,14275
79,Georgia,0.744,74.3,12.1,13.2,6890
79,Grenada,0.744,72.8,8.6,15.8,10339
82,Peru,0.737,74.8,9,13.1,11280
83,Ukraine,0.734,68.5,11.3,15.1,8215
84,Belize,0.732,73.9,9.3,13.7,9364
84,The former Yugoslav Republic of Macedonia,0.732,75.2,8.2,13.3,11745
86,Bosnia and Herzegovina,0.731,76.4,8.3,13.6,9431
87,Armenia,0.73,74.6,10.8,12.3,7952
88,Fiji,0.724,69.8,9.9,15.7,7214
89,Thailand,0.722,74.4,7.3,13.1,13364
90,Tunisia,0.721,75.9,6.5,14.6,10440
91,China,0.719,75.3,7.5,12.9,11477
91,Saint Vincent and the Grenadines,0.719,72.5,8.6,13.3,10339
93,Algeria,0.717,71,7.6,14,12555
93,Dominica,0.717,77.7,7.7,12.7,9235
95,Albania,0.716,77.4,9.3,10.8,9225
96,Jamaica,0.715,73.5,9.6,12.5,8170
97,Saint Lucia,0.714,74.8,8.3,12.8,9251
98,Colombia,0.711,74,7.1,13.2,11527
98,Ecuador,0.711,76.5,7.6,12.3,9998
100,Suriname,0.705,71,7.7,12,15113
100,Tonga,0.705,72.7,9.4,14.7,5316
102,Dominican Republic,0.7,73.4,7.5,12.3,10844
103,Maldives,0.698,77.9,5.8,12.7,10074
103,Mongolia,0.698,67.5,8.3,15,8466
103,Turkmenistan,0.698,65.5,9.9,12.6,11533
106,Samoa,0.694,73.2,10.3,12.9,4708
107,"Palestine, State of",0.686,73.2,8.9,13.2,5168
108,Indonesia,0.684,70.8,7.5,12.7,8970
109,Botswana,0.683,64.4,8.8,11.7,14792
110,Egypt,0.682,71.2,6.4,13,10400
111,Paraguay,0.676,72.3,7.7,11.9,7580
112,Gabon,0.674,63.5,7.4,12.3,16977
113,Bolivia (Plurinational State of),0.667,67.3,9.2,13.2,5552
114,Moldova (Republic of),0.663,68.9,9.8,11.8,5041
115,El Salvador,0.662,72.6,6.5,12.1,7240
116,Uzbekistan,0.661,68.2,10,11.5,5227
117,Philippines,0.66,68.7,8.9,11.3,6381
118,South Africa,0.658,56.9,9.9,13.1,11788
118,Syrian Arab Republic,0.658,74.6,6.6,12,5771
120,Iraq,0.642,69.4,5.6,10.1,14007
121,Guyana,0.638,66.3,8.5,10.7,6341
121,Viet Nam,0.638,75.9,5.5,11.9,4892
123,Cape Verde,0.636,75.1,3.5,13.2,6365
124,Micronesia (Federated States of),0.63,69,8.8,11.4,3662
125,Guatemala,0.628,72.1,5.6,10.7,6866
125,Kyrgyzstan,0.628,67.5,9.3,12.5,3021
127,Namibia,0.624,64.5,6.2,11.3,9185
128,Timor-Leste,0.62,67.5,4.4,11.7,9674
129,Honduras,0.617,73.8,5.5,11.6,4138
129,Morocco,0.617,70.9,4.4,11.6,6905
131,Vanuatu,0.616,71.6,9,10.6,2652
132,Nicaragua,0.614,74.8,5.8,10.5,4266
133,Kiribati,0.607,68.9,7.8,12.3,2645
133,Tajikistan,0.607,67.2,9.9,11.2,2424
135,India,0.586,66.4,4.4,11.7,5150
136,Bhutan,0.584,68.3,2.3,12.4,6775
136,Cambodia,0.584,71.9,5.8,10.9,2805
138,Ghana,0.573,61.1,7,11.5,3532
139,Lao People's Democratic Republic,0.569,68.3,4.6,10.2,4351
140,Congo,0.564,58.8,6.1,11.1,4909
141,Zambia,0.561,58.1,6.5,13.5,2898
142,Bangladesh,0.558,70.7,5.1,10,2713
142,Sao Tome and Principe,0.558,66.3,4.7,11.3,3111
144,Equatorial Guinea,0.556,53.1,5.4,8.5,21972
145,Nepal,0.54,68.4,3.2,12.4,2194
146,Pakistan,0.537,66.6,4.7,7.7,4652
147,Kenya,0.535,61.7,6.3,11,2158
148,Swaziland,0.53,49,7.1,11.3,5536
149,Angola,0.526,51.9,4.7,11.4,6323
150,Myanmar,0.524,65.2,4,8.6,3998
151,Rwanda,0.506,64.1,3.3,13.2,1403
152,Cameroon,0.504,55.1,5.9,10.4,2557
152,Nigeria,0.504,52.5,5.2,9,5353
154,Yemen,0.5,63.1,2.5,9.2,3945
155,Madagascar,0.498,64.7,5.2,10.3,1333
156,Zimbabwe,0.492,59.9,7.2,9.3,1307
157,Papua New Guinea,0.491,62.4,3.9,8.9,2453
157,Solomon Islands,0.491,67.7,4.5,9.2,1385
159,Comoros,0.488,60.9,2.8,12.8,1505
159,Tanzania (United Republic of),0.488,61.5,5.1,9.2,1702
161,Mauritania,0.487,61.6,3.7,8.2,2988
162,Lesotho,0.486,49.4,5.9,11.1,2798
163,Senegal,0.485,63.5,4.5,7.9,2169
164,Uganda,0.484,59.2,5.4,10.8,1335
165,Benin,0.476,59.3,3.2,11,1726
166,Sudan,0.473,62.1,3.1,7.3,3428
166,Togo,0.473,56.5,5.3,12.2,1129
168,Haiti,0.471,63.1,4.9,7.6,1636
169,Afghanistan,0.468,60.9,3.2,9.3,1904
170,Djibouti,0.467,61.8,3.8,6.4,3109
171,Côte d'Ivoire,0.452,50.7,4.3,8.9,2774
172,Gambia,0.441,58.8,2.8,9.1,1557
173,Ethiopia,0.435,63.6,2.4,8.5,1303
174,Malawi,0.414,55.3,4.2,10.8,715
175,Liberia,0.412,60.6,3.9,8.5,752
176,Mali,0.407,55,2,8.6,1499
177,Guinea-Bissau,0.396,54.3,2.3,9,1090
178,Mozambique,0.393,50.3,3.2,9.5,1011
179,Guinea,0.392,56.1,1.6,8.7,1142
180,Burundi,0.389,54.1,2.7,10.1,749
181,Burkina Faso,0.388,56.3,1.3,7.5,1602
182,Eritrea,0.381,62.9,3.4,4.1,1147
183,Sierra Leone,0.374,45.6,2.9,7.5,1815
184,Chad,0.372,51.2,1.5,7.4,1622
185,Central African Republic,0.341,50.2,3.5,7.2,588
186,Congo (Democratic Republic of the),0.338,50,3.1,9.7,444
187,Niger,0.337,58.4,1.4,5.4,873
